"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"164","0.32727272727272727","0.32727272727272727","0.32727272727272727"
"165","0.3253012048192771","0.3253012048192771","0.3253012048192771"
"166","0.32934131736526945","0.32934131736526945","0.32934131736526945"
"167","0.3273809523809524","0.3273809523809524","0.3273809523809524"
"168","0.3254437869822485","0.3254437869822485","0.3254437869822485"
"169","0.3235294117647059","0.3235294117647059","0.3235294117647059"
"170","0.32748538011695905","0.32748538011695905","0.32748538011695905"
"171","0.32558139534883723","0.32558139534883723","0.32558139534883723"
"172","0.3236994219653179","0.3236994219653179","0.3236994219653179"
"173","0.3275862068965517","0.3275862068965517","0.3275862068965517"
"174","0.32571428571428573","0.32571428571428573","0.32571428571428573"
"175","0.32954545454545453","0.32954545454545453","0.32954545454545453"
"176","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"177","0.33146067415730335","0.33146067415730335","0.33146067415730335"
"178","0.329608938547486","0.329608938547486","0.329608938547486"
"179","0.3277777777777778","0.3277777777777778","0.3277777777777778"
"180","0.3314917127071823","0.3314917127071823","0.3314917127071823"
"181","0.32967032967032966","0.32967032967032966","0.32967032967032966"
"182","0.32786885245901637","0.32786885245901637","0.32786885245901637"
"183","0.33152173913043476","0.33152173913043476","0.33152173913043476"
"184","0.32972972972972975","0.32972972972972975","0.32972972972972975"
"185","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"186","0.3315508021390374","0.3315508021390374","0.3315508021390374"
"187","0.3351063829787234","0.3351063829787234","0.3351063829787234"
"188","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"189","0.3368421052631579","0.3368421052631579","0.3368421052631579"
"190","0.33507853403141363","0.33507853403141363","0.33507853403141363"
"191","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"192","0.33678756476683935","0.33678756476683935","0.33678756476683935"
"193","0.33505154639175255","0.33505154639175255","0.33505154639175255"
"194","0.3384615384615385","0.3384615384615385","0.3384615384615385"
"195","0.336734693877551","0.336734693877551","0.336734693877551"
"196","0.3350253807106599","0.3350253807106599","0.3350253807106599"
"197","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"198","0.33668341708542715","0.33668341708542715","0.33668341708542715"
"199","0.34","0.34","0.34"
"200","0.34328358208955223","0.34328358208955223","0.34328358208955223"
"201","0.3415841584158416","0.3415841584158416","0.3415841584158416"
"202","0.3399014778325123","0.3399014778325123","0.3399014778325123"
"203","0.3431372549019608","0.3431372549019608","0.3431372549019608"
"204","0.34146341463414637","0.34146341463414637","0.34146341463414637"
"205","0.3446601941747573","0.3446601941747573","0.3446601941747573"
"206","0.34782608695652173","0.34782608695652173","0.34782608695652173"
"207","0.35096153846153844","0.35096153846153844","0.35096153846153844"
"208","0.3492822966507177","0.3492822966507177","0.3492822966507177"
"209","0.3476190476190476","0.3476190476190476","0.3476190476190476"
"210","0.3459715639810427","0.3459715639810427","0.3459715639810427"
"211","0.3443396226415094","0.3443396226415094","0.3443396226415094"
"212","0.3427230046948357","0.3427230046948357","0.3427230046948357"
"213","0.34579439252336447","0.34579439252336447","0.34579439252336447"
"214","0.34418604651162793","0.34418604651162793","0.34418604651162793"
"215","0.3425925925925926","0.3425925925925926","0.3425925925925926"
"216","0.34101382488479265","0.34101382488479265","0.34101382488479265"
"217","0.3394495412844037","0.3394495412844037","0.3394495412844037"
"218","0.3378995433789954","0.3378995433789954","0.3378995433789954"
"219","0.33636363636363636","0.33636363636363636","0.33636363636363636"
"220","0.3393665158371041","0.3393665158371041","0.3393665158371041"
"221","0.33783783783783783","0.33783783783783783","0.33783783783783783"
"222","0.34080717488789236","0.34080717488789236","0.34080717488789236"
"223","0.3392857142857143","0.3392857142857143","0.3392857142857143"
"224","0.3377777777777778","0.3377777777777778","0.3377777777777778"
"225","0.336283185840708","0.336283185840708","0.336283185840708"
"226","0.33480176211453744","0.33480176211453744","0.33480176211453744"
"227","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"228","0.3318777292576419","0.3318777292576419","0.3318777292576419"
"229","0.33043478260869563","0.33043478260869563","0.33043478260869563"
"230","0.329004329004329","0.329004329004329","0.329004329004329"
"231","0.33189655172413796","0.33189655172413796","0.33189655172413796"
"232","0.33047210300429186","0.33047210300429186","0.33047210300429186"
"233","0.32905982905982906","0.32905982905982906","0.32905982905982906"
"234","0.33191489361702126","0.33191489361702126","0.33191489361702126"
"235","0.3305084745762712","0.3305084745762712","0.3305084745762712"
"236","0.3291139240506329","0.3291139240506329","0.3291139240506329"
"237","0.3277310924369748","0.3277310924369748","0.3277310924369748"
"238","0.3305439330543933","0.3305439330543933","0.3305439330543933"
"239","0.32916666666666666","0.32916666666666666","0.32916666666666666"
"240","0.3278008298755187","0.3278008298755187","0.3278008298755187"
"241","0.3305785123966942","0.3305785123966942","0.3305785123966942"
"242","0.3292181069958848","0.3292181069958848","0.3292181069958848"
"243","0.32786885245901637","0.32786885245901637","0.32786885245901637"
"244","0.32653061224489793","0.32653061224489793","0.32653061224489793"
"245","0.3252032520325203","0.3252032520325203","0.3252032520325203"
"246","0.32388663967611336","0.32388663967611336","0.32388663967611336"
"247","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"248","0.3253012048192771","0.3253012048192771","0.3253012048192771"
"249","0.324","0.324","0.324"
"250","0.32669322709163345","0.32669322709163345","0.32669322709163345"
"251","0.3253968253968254","0.3253968253968254","0.3253968253968254"
"252","0.32806324110671936","0.32806324110671936","0.32806324110671936"
"253","0.32677165354330706","0.32677165354330706","0.32677165354330706"
"254","0.32941176470588235","0.32941176470588235","0.32941176470588235"
"255","0.328125","0.328125","0.328125"
"256","0.32684824902723736","0.32684824902723736","0.32684824902723736"
"257","0.32558139534883723","0.32558139534883723","0.32558139534883723"
"258","0.3281853281853282","0.3281853281853282","0.3281853281853282"
"259","0.3269230769230769","0.3269230769230769","0.3269230769230769"
"260","0.32950191570881227","0.32950191570881227","0.32950191570881227"
"261","0.3282442748091603","0.3282442748091603","0.3282442748091603"
"262","0.3269961977186312","0.3269961977186312","0.3269961977186312"
"263","0.32954545454545453","0.32954545454545453","0.32954545454545453"
"264","0.3283018867924528","0.3283018867924528","0.3283018867924528"
"265","0.32706766917293234","0.32706766917293234","0.32706766917293234"
"266","0.3258426966292135","0.3258426966292135","0.3258426966292135"
"267","0.3283582089552239","0.3283582089552239","0.3283582089552239"
"268","0.3308550185873606","0.3308550185873606","0.3308550185873606"
